t_aux, position_x,position_y,position_z, velocity_x, velocity_y, velocity_z, latitudes, longitudes, altitudes, Bx_IGRF, By_IGRF, Bz_IGRF, vsun_x, vsun_y, vsun_z, Bx_IGRF_n, By_IGRF_n, Bz_IGRF_n, vsun_x_n, vsun_y_n, vsun_z_n
10228,5359.753805273534,2276.0190257192094,3528.464575309048,-3.168757069316964, -2.5911806160213318, 6.469865590426838, 31.496188350177796, 120.08957050861517, 436284.60387005704, 0.6763751928199816, -0.06294326280145694, 0.7338628919666395, -0.7780214590802207, -0.24986366552223446, -0.24986366552223446, 26762.55458917712, -2490.5149163169435, 29037.205852190105, -0.7780214590802206, -0.24986366552223443, -0.24986366552223443
10230,5353.402725113714,2270.8308769577184,3541.395434606616,-3.182279910415884, -2.5969199399939473, 6.460916136806605, 31.623971219746114, 120.05874410007438, 436311.5331510022, 0.6739553039418424, -0.0629799282626989, 0.7360827242400707, -0.7780212051748364, -0.24986379058214084, -0.24986379058214084, 26708.836718972634, -2495.8934378921213, 29170.945281381923, -0.7780212051748364, -0.24986379058214084, -0.24986379058214084
10232,5347.024615249266,2265.6312626445206,3554.30836214211,-3.1957865857823378, -2.6026461102230387, 6.45193403349499, 31.75174716044056, 120.02785634976976, 436338.5890750481, 0.6715367913041475, -0.06301437744302313, 0.7382868860818254, -0.7780209512693431, -0.24986391564199764, -0.24986391564199764, 26654.875103404684, -2501.1888882523676, 29304.343401313025, -0.778020951269343, -0.2498639156419976, -0.2498639156419976
10234,5340.619378957774,2260.4201041708016,3567.203551888355,-3.2092772980565667, -2.6083592125198174, 6.4429191451831285, 31.879518703101862, 119.99690632957227, 436365.7715004541, 0.6691196814111994, -0.06304661903414643, 0.740475506533834, -0.7780206973637048, -0.24986404070182233, -0.24986404070182233, 26600.669735966472, -2506.401078144339, 29437.40102717792, -0.7780206973637047, -0.2498640407018223, -0.2498640407018223
10236,5334.187306473407,2255.1976375875442,3580.080419883525,-3.222751435982986, -2.614058988119685, 6.433871881093978, 32.007280667618396, 119.96589447170813, 436393.07864197047, 0.6667041444064022, -0.06307665899352471, 0.7426485837336135, -0.7780204434579394, -0.2498641657616063, -0.2498641657616063, 26546.22390378721, -2511.529479445157, 29570.111047045793, -0.7780204434579393, -0.24986416576160628, -0.24986416576160628
10238,5327.72830190354,2249.963784642038,3592.9391606231848,-3.2362092026791363, -2.619745523228321, 6.424792106925576, 32.135035584357816, 119.93481984175355, 436420.51035166683, 0.6642902041630648, -0.06310450614778013, 0.7448062472595395, -0.778020189552047, -0.24986429082134942, -0.24986429082134942, 26491.537620665036, -2516.573913284804, 29702.47430374422, -0.7780201895520469, -0.2498642908213494, -0.2498642908213494
10240,5321.242267304223,2244.7184662059585,3605.779967279589,-3.2496508000781468, -2.6254189030749355, 6.4156796858967065, 32.26278598335403, 119.90368149630967, 436448.06648992526, 0.6618778833927329, -0.0631301691950984, 0.7469486255512852, -0.7780199356460452, -0.2498644158810429, -0.2498644158810429, 26436.610888833126, -2521.5341987288107, 29834.49162317916, -0.7780199356460452, -0.2498644158810429, -0.2498644158810429
10242,5314.729496581056,2239.461919886032,3618.6022583387685,-3.2630756191462607, -2.6310788706953256, 6.406535031667574, 32.39052668459479, 119.87247986364012, 436475.74525107886, 0.6594673481939902, -0.06315365447737802, 0.7490757188643471, -0.7780196817398985, -0.24986454094070437, -0.24986454094070437, 26381.447046483874, -2526.4098305239954, 29966.1559668508, -0.7780196817398985, -0.24986454094070437, -0.24986454094070437
10244,5308.189892608995,2234.1940669012433,3631.4062275172814,-3.2764838623165398, -2.636725511722698, 6.3973580084483, 32.518260217782725, 119.84121399379355, 436503.54648948414, 0.6570586187138882, -0.06317497081378785, 0.7511876560730179, -0.7780194278336069, -0.24986466600033386, -0.24986466600033386, 26326.046115286958, -2531.2006381273773, 30097.468188943778, -0.7780194278336069, -0.24986466600033386, -0.24986466600033386
10246,5301.623488608567,2228.914933933891,3644.191810123985,-3.2898754615415426, -2.64235879759597, 6.388148663602891, 32.64598654239916, 119.80988339049831, 436531.4695046664, 0.6546517620943428, -0.06319412623212681, 0.7532845231361984, -0.7780191739271705, -0.24986479105993137, -0.24986479105993137, 26270.409230448404, -2535.9063447221597, 30228.42652472579, -0.7780191739271703, -0.24986479105993134, -0.24986479105993134
10248,5295.030185037556,2223.6244411877124,3656.9591982031675,-3.3032506177482017, -2.647978812741573, 6.378906858429498, 32.77370818688635, 119.77848708931836, 436559.51415978424, 0.6522467961905778, -0.06321112940984605, 0.7553664474795387, -0.7780189200206248, -0.24986491611947922, -0.24986491611947922, 26214.53640466165, -2540.5267803109605, 30359.031814280544, -0.7780189200206247, -0.2498649161194792, -0.2498649161194792
10250,5288.410280656465,2218.3228283111466,3669.7078135840984,-3.316608724948654, -2.6535853026308844, 6.369633012447033, 32.9014199717293, 119.74702551283156, 436587.67862260534, 0.6498438818360134, -0.06322598716651141, 0.7574334319180277, -0.7780186661139697, -0.24986504117897745, -0.24986504117897745, 26158.43104170055, -2545.0614702501557, 30489.277119186834, -0.7780186661139696, -0.24986504117897743, -0.24986504117897743
10252,5281.763676721945,2213.0100158391188,3682.437848894367,-3.3299499846107055, -2.6591783521115, 6.360326987916528, 33.029124425330565, 119.71549768967398, 436615.962750495, 0.6474430344102706, -0.06323870828273498, 0.7594856041876977, -0.7780184122071698, -0.24986516623844363, -0.24986516623844363, 26102.093172498822, -2549.510254918323, 30619.163308685325, -0.7780184122071698, -0.24986516623844363, -0.24986516623844363
10254,5275.090407000148,2207.6860306834365,3695.1492398192304,-3.343274329046116, -2.664757932905141, 6.350988832863981, 33.15682150633344, 119.68390310717247, 436644.36583617836, 0.6450443161930604, -0.06324930090864064, 0.7615230502628239, -0.7780181583002249, -0.2498652912978778, -0.2498652912978778, 26045.52395973915, -2553.872874929262, 30748.68866153634, -0.7780181583002249, -0.2498652912978778, -0.2498652912978778
10256,5268.390370348113,2202.350792377748,3707.842177280515,-3.356581958181412, -2.670324128637859, 6.341618406663028, 33.28451374173752, 119.65224077892654, 436672.88774562825, 0.642647740400746, -0.06325777366923399, 0.7635458963469238, -0.778017904393153, -0.2498654163572712, -0.2498654163572712, 25988.723424926284, -2558.14917102352, 30877.854032480467, -0.778017904393153, -0.2498654163572712, -0.2498654163572712
10258,5261.663870353839,2197.0045425904664,3720.5160865024786,-3.3698722691291434, -2.675876687239316, 6.332216134651875, 33.41219595255658, 119.62051112139602, 436701.5266207778, 0.640253462760992, -0.06326413382308832, 0.7655541475259429, -0.7780176504859897, -0.24986554141660622, -0.24986554141660622, 25931.695034729557, -2562.3386992114793, 31006.65258506528, -0.7780176504859897, -0.24986554141660622, -0.24986554141660622
10260,5254.9108066770805,2191.6472011895776,3733.1711589825077,-3.383145462348657, -2.6814156927532897, 6.322781877172062, 33.539870665574554, 119.58871314094954, 436730.2823219745, 0.6378614941139669, -0.06326839008123694, 0.7675479301927836, -0.778017396578628, -0.24986566647593556, -0.24986566647593556, 25874.438827917464, -2566.4413105414637, 31135.085203496346, -0.7780173965786279, -0.24986566647593553, -0.24986566647593553
10262,5248.131213624078,2186.278795311982,3745.8073307927502,-3.39640147052203, -2.6869411171888657, 6.3133156829032595, 33.66753783860116, 119.55684630773447, 436759.1541353749, 0.635471892079036, -0.06327055068313801, 0.7695273301148846, -0.7780171426711926, -0.24986579153519772, -0.24986579153519772, 25816.955992726096, -2570.4567628916643, 31263.150210749318, -0.7780171426711925, -0.2498657915351977, -0.2498657915351977
10264,5241.324988439974,2180.899243812477,3758.4247917530633,-3.409640492596858, -2.692453043380621, 6.30381740927866, 33.795199997493754, 119.52490961238328, 436788.14192989643, 0.6330846654492353, -0.06327062417126568, 0.7714924720890077, -0.7780168887635944, -0.24986591659443666, -0.24986591659443666, 25759.246557796716, -2574.384907485985, 31390.848476677245, -0.7780168887635944, -0.24986591659443666, -0.24986591659443666
10266,5234.4924395399385,2175.5087903792464,3771.0229704829676,-3.422861928786683, -2.697951221716573, 6.294287487454236, 33.922851963307224, 119.49290346488311, 436817.2438222166, 0.6306999650206653, -0.06326861820603204, 0.7734433631968349, -0.7780166348559049, -0.24986604165361714, -0.24986604165361714, 25701.314050270903, -2578.2253309410553, 31518.1732679631, -0.7780166348559049, -0.24986604165361714, -0.24986604165361714
10268,5227.633464972957,2170.107354202359,3783.6020573753276,-3.4360659785693426, -2.703435735447829, 6.28472577583233, 34.05049626155827, 119.46082684829251, 436846.4596757728, 0.628317797309668, -0.06326454139959163, 0.7753801283147681, -0.7780163809480348, -0.24986616671278325, -0.24986616671278325, 25643.158515079664, -2581.97789468948, 31645.125484196535, -0.7780163809480348, -0.24986616671278325, -0.24986616671278325
10270,5220.747960820648,2164.69485366337,3796.162241339316,-3.4492528400698967, -2.708906666778543, 6.27513213045397, 34.17813541645464, 119.42867873551158, 436875.789361504, 0.625938167951432, -0.06325840221361931, 0.7773028910604829, -0.7780161270400733, -0.24986629177189099, -0.24986629177189099, 25584.779985603152, -2585.6424575818824, 31771.706005790016, -0.7780161270400733, -0.24986629177189099, -0.24986629177189099
10272,5213.836239053542,2159.271533913999,3808.702953660679,-3.462421915953479, -2.714363767992726, 6.265506986746998, 34.30576424997229, 119.39645953119535, 436905.23097783973, 0.6235612241375041, -0.06325020858656895, 0.7792116598626413, -0.7780158731319669, -0.24986641683096666, -0.24986641683096666, 25526.182032224693, -2589.218629157274, 31897.908178619582, -0.7780158731319669, -0.24986641683096666, -0.24986641683096666
10274,5206.8981965512085,2153.8373136664222,3821.22438383256,-3.4755734048869216, -2.719807121715844, 6.255850201713092, 34.43338528601293, 119.3641682003771, 436934.78439040197, 0.6211869692989512, -0.06323996903807104, 0.781106558344793, -0.7780156192237334, -0.24986654189000146, -0.24986654189000146, 25467.364703846903, -2592.706278385322, 32023.732913109416, -0.7780156192237333, -0.24986654189000143, -0.24986654189000143
10276,5199.933868552125,2148.392220441475,3833.7264686267567,-3.488707240224261, -2.725236700469536, 6.24616182515642, 34.56099848090818, 119.33180418118339, 436964.4488745054, 0.6188154533894948, -0.06322769188930133, 0.7829876714385133, -0.7780153653153727, -0.24986666694899554, -0.24986666694899554, 25408.329228966035, -2596.10519277033, 32149.178610782517, -0.7780153653153726, -0.2498666669489955, -0.2498666669489955
10278,5192.943149537237,2142.9361719508306,3846.209395828654,-3.501823619088777, -2.730652585656727, 6.236441711192664, 34.68860635766029, 119.29936642177807, 436994.2243040774, 0.6164466780076467, -0.06321338547046358, 0.7848551210705702, -0.7780151114068672, -0.24986679200795758, -0.24986679200795758, 25349.075645588073, -2599.4152410447773, 32274.246166994963, -0.7780151114068671, -0.24986679200795756, -0.24986679200795756
10280,5185.926356274163,2137.4694153423134,3858.6726001747497,-3.514921947305191, -2.736054532043973, 6.22669030102354, 34.81620373798334, 119.26685531954108, 437024.10875348595, 0.6140807857161685, -0.06319705806058448, 0.7867089172411231, -0.7780148574982524, -0.24986691706686995, -0.24986691706686995, 25289.607580203203, -2602.6360631224984, 32398.929032882, -0.7780148574982524, -0.24986691706686995, -0.24986691706686995
